gene	pmids
RPS6KB1	10072357,10082514,10100614,10100627,10212283,10334628,10373522,10390618,10580837,10600813,10679397,10704947,10713264,10781824,10822168,10846175,10996591,11054482,11069888,11072066,11170836,11301183,11337028,11500301,11551843,11583630,11690632,11713255,11728421,11788584,12117303,12162463,12176053,12427541,12711332,12745063,12818373,14516732,14530165,14623520,15010863,15033970,15067018,15149849,15322222,15365568,15452065,15541776,16139919,16180585,16286006,16410300,16469801,16702112,16942862,16962100,17459944,18296647,18461003,18577697,18701475,18722373,18790744,19143641,19171678,19384426,19399994,19411173,19442266,19443706,19448698,19505191,19643477,19651701,19732028,19759896,19790269,19801385,19801633,19851863,19901084,20179672,20215645,20445056,20465992,20546782,20667471,20694022,20698768,21258406,21283818,21411864,21729319,21964931,21993994,22135164,22253983,22267161,22409888,22425892,22507269,22553489,22564017,22788551,22817638,23071566,23077579,23160380,23161797,23802099,23974099,24036549,24075010,24076964,24099268,24351423,24351799,24425783,24513322,24661902,24704832,24718901,25193855,25277173,25512602,25636967,25846574,25965831,25998396,26029165,26122708,26154409,26183158,26276683,26740621,26985248,26993044,27043414,27191261,27565731,28083147,28481292,28490734,28680592,28700668,29351204,29532456,29611762,29652799,29763645,29928786,30108651,30373594,30612880,31393061,31809235,32230718,32333810,32393148,32664532,33240873,33435282,33537033,33758209,34360716,34813590,35339758,36869852,37906695,8603101,9067639,9109413,9202140,9395070,9807840,9824294,9914170
DDAH1	21212404
TP53	10585266,10602522,10777218,11231003,11314010,11464279,11804596,11815632,12048243,12509279,12648451,12782597,12876282,14667504,14702042,14741382,15256449,15469940,15489933,15578696,15630097,15790450,15842803,16033918,16170357,16322298,16474844,16507123,16895524,17311302,17390010,17396137,17530187,17531965,17581277,17607363,17701148,17927872,17967871,17989286,17999388,18089799,18092324,18208837,18612383,18717684,19118032,19199318,19302219,19416725,19462533,19629163,19725922,19773441,19833883,19846904,19881536,19917135,20018721,20112543,20223012,20421238,20689556,20703098,20972454,21187651,21206385,21303901,21386980,21410931,21421111,21447739,21460853,21478269,21621504,21642992,21665145,21832879,21952947,21980358,22046250,22076149,22120717,22154076,22178617,22427690,22563073,22682249,22847613,22862944,22893124,22899716,22984579,22989750,22999923,23059819,23102272,23178494,23251530,23403278,23492369,23504554,23665223,23741403,23792586,23798621,23814485,23836507,23873029,23892287,23967302,23981578,24025254,24040083,24065105,24356649,24373920,24376578,24378760,24394915,24395704,24463159,24481480,24485087,24486524,24586866,24603336,24677579,24690081,24714748,24739573,24763051,24766216,24857548,24928858,25059482,25071014,25115399,25119136,25164622,25176652,25201202,25337569,25398538,25400145,25429619,25512615,25573952,25612309,25623590,25691063,25695772,25697482,25732823,25774791,25789973,25810107,25860607,25885474,26067754,26181206,26223322,26271008,26356671,26378048,26469958,26501191,26512957,26525204,26575287,26637970,26700961,26712693,26732534,26738694,26753987,26781438,26840456,26876197,26878390,26898459,26918055,26942128,26974205,27044891,27054339,27167190,27258787,27312428,27363019,27385486,27422117,27482544,27486687,27517620,27545838,27545895,27551483,27563818,27626169,27689337,27768124,27775703,27807478,27916872,27973397,28038466,28107519,28232385,28378747,28475592,28574838,28627514,28628120,28718431,28725636,28796261,28842590,28938696,28987347,29033320,29033852,29121993,29130578,29137250,29151926,29244835,29254192,29269868,29281826,29367463,29518025,29660231,29666243,29687302,29755668,29844410,29872724,29950894,30010803,30030520,30060597,30085406,30100733,30123836,30126368,30230059,30318520,30349649,30496442,30510501,30524892,30863319,30896789,30914657,30915036,30946870,31217894,31253872,31471556,31480804,31523200,31712410,31877165,31952783,32042215,32075247,32079237,32117754,32129701,32274705,32350249,32393735,32471985,32532965,32633781,32792685,33117153,33144694,33314700,33348923,33395748,33408771,33440657,33505918,33505920,33513745,33515627,33614491,33644030,33669845,33792183,33806894,33823140,33839689,33961797,34135394,34145038,34335587,34345203,34348766,34408321,34957087,35071232,35439056,35693277,35896951,36318118,36323841,36333289,36429043,36640361,36804453,36871418,36973430,37030635,37067901,37986175,38043200,7663514,9020141,9331090,9635828
P3H3	27638122
NF2	17548515,18071304,20178741,20890305,21750658,22247700,22325036,25043298,27402866,27736841,35082167
BRAF	12781369,14500344,15035987,15488754,15557124,15735667,15781663,16052531,16079850,16601293,16880785,17001349,17050671,17159915,17179987,17189417,17299132,17409425,17545526,17699719,17714762,18071315,18267069,18337114,18360584,18473997,18508762,18602919,18628967,18631381,18632602,18632627,18644254,18668139,18676837,18676857,18679422,18715233,18794803,18806830,18923447,18929917,19001320,19010912,19040996,19079609,19124656,19156138,19187764,19207009,19212341,19222803,19223551,19274086,19276165,19282848,19319189,19383316,19389934,19398955,19487299,19561646,19565028,19584719,19659611,19690147,19724275,19795394,19805117,19843849,19845874,19855433,19878585,19881948,19903742,19917255,19941411,20014119,20023270,20027224,20141835,20149136,20157537,20161827,20182446,20230995,20348947,20350535,20385032,20472883,20473281,20478260,20485284,20498063,20616366,20628483,20637346,20655465,20663135,20667740,20706624,20807678,20837138,20883453,20926530,20941790,20976827,21098728,21102416,21103049,21107320,21111965,21128770,21139585,21156289,21185263,21215707,21224857,21239520,21249150,21251608,21321384,21324102,21345796,21349766,21355020,21364673,21379385,21383698,21386910,21430779,21447745,21451543,21478267,21512141,21536929,21539865,21587258,21594579,21602881,21636552,21663470,21679003,21734707,21738740,21764747,21818706,21822300,21826256,21844014,21903858,21937738,21943101,21981139,22007340,22012135,22043994,22065586,22087789,22113612,22194995,22227015,22234612,22241959,22253748,22256804,22268005,22281684,22301711,22363855,22419879,22430208,22437869,22461507,22488961,22500044,22511580,22515292,22535974,22537109,22558328,22611400,22643351,22649091,22653968,22661970,22702340,22727996,22800433,22826122,22833572,22836754,22850568,22871572,22909976,22951975,22997239,22998776,23012583,23056577,23094782,23153539,23172086,23174497,23190890,23203004,23204132,23213401,23296668,23301832,23302800,23306863,23321925,23334329,23338612,23344460,23349307,23383069,23400877,23418523,23429735,23435375,23444215,23455323,23477830,23482591,23483066,23489628,23522382,23525189,23544172,23549875,23571588,23584291,23603840,23617957,23650282,23666755,23680146,23685455,23701950,23726842,23737487,23744355,23762095,23766237,23791173,23812671,23825589,23831555,23845441,23856932,23857250,23893334,23907581,23921951,23935925,23959801,23965987,23970782,23973372,23976959,23993095,23998804,24012403,24037523,24094449,24095280,24108405,24114839,24118207,24137342,24163809,24164966,24175297,24179707,24210882,24243688,24252190,24258973,24265155,24267087,24283590,24312896,24345920,24348463,24382015,24387336,24416650,24422853,24425783,24434212,24445437,24452759,24454733,24460190,24460976,24469106,24489653,24497953,24525234,24550319,24588959,24610826,24638167,24642617,24703243,24717435,24732172,24733413,24736544,24746704,24759783,24770869,24771846,24797369,24823863,24828387,24840574,24848057,24848709,24860158,24879157,24882974,24885690,24901049,24909175,24909403,24918823,24920406,24973511,24982657,24994118,25000258,25010701,25013473,25026375,25030625,25047706,25048604,25083331,25085839,25117819,25149433,25155755,25188864,25195862,25202828,25219500,25228413,25230087,25234361,25275294,25304686,25337709,25341111,25351955,25358764,25361077,25365078,25367198,25393105,25398846,25399755,25409876,25416676,25417114,25444926,25456905,25466451,25467940,25472943,25482468,25490715,25496804,25500543,25506283,25534312,25538895,25542448,25557167,25563358,25584893,25587943,25594052,25595558,25595898,25600339,25602792,25621172,25658204,25666673,25673642,25673644,25674762,25679014,25679763,25695333,25709607,25714871,25744769,25749517,25767210,25785246,25794135,25795007,25807528,25814555,25818589,25821557,25879531,25888143,25890285,25900832,25903073,25941586,25947358,25950823,25956158,25961153,25971842,25976231,25989506,25990957,25992240,25997619,26001956,26004297,26014474,26023796,26029997,26033450,26036358,26065894,26082780,26084290,26084293,26090869,26091525,26092602,26130651,26145173,26146959,26161362,26163656,26171248,26172302,26176707,26183406,26183450,26194071,26206099,26208433,26253025,26279576,26297257,26300491,26304929,26316784,26322273,26322316,26343582,26343583,26350141,26356562,26384552,26384810,26392228,26392334,26397139,26405815,26425015,26448939,26454140,26472282,26500770,26504080,26525348,26542767,26546268,26590711,26594172,26636651,26640592,26667986,26703469,26711930,26713093,26733501,26744778,26745528,26750638,26751190,26765561,26771234,26818109,26838744,26845683,26857243,26864318,26871894,26880715,26884744,26889698,26892809,26896755,26898828,26924126,26942675,26943032,26959608,26959890,26977879,26985827,26996308,26997864,27025703,27048246,27051852,27057458,27066006,27127178,27127508,27138882,27139190,27143921,27181209,27200346,27210749,27213454,27217440,27253461,27270434,27277675,27297629,27320919,27351224,27351373,27384483,27391062,27447557,27458138,27494838,27521655,27523909,27543988,27554081,27575377,27580028,27611946,27653015,27672042,27689874,27713119,27738305,27773653,27790118,27793694,27799065,27812792,27812875,27822561,27827420,27833134,27834083,27846390,27848137,27861332,27861609,27863429,27875549,27879658,27880942,27906130,27923454,27930579,27974353,27977682,28002790,28002810,28069929,28072975,28077340,28083595,28089569,28097822,28131904,28152508,28187289,28188776,28233937,28234980,28263969,28292959,28344746,28350298,28356330,28358273,28368422,28376192,28382170,28423600,28423638,28448494,28467685,28468827,28486107,28490781,28499452,28500236,28504713,28522753,28535001,28539323,28543700,28548075,28570681,28595656,28638488,28649441,28656062,28708099,28720543,28757416,28783719,28783725,28806777,28809862,28823142,28828350,28829835,28830513,28842324,28849102,28910386,28928829,28936920,28944311,28947956,28951536,28972961,28982601,28986151,29018192,29050931,29079175,29088773,29100459,29109980,29117154,29152094,29156643,29156680,29158583,29163356,29175850,29187894,29235923,29258188,29262556,29276510,29281831,29291022,29296862,29371951,29388401,29422527,29464040,29467389,29481571,29490280,29491057,29507566,29523762,29545965,29547718,29558679,29570692,29589394,29629339,29642644,29673240,29675113,29686425,29690599,29713312,29760568,29780391,29795041,29872725,29907857,29909991,29928450,29930381,29930939,29950559,29973406,29983861,30033091,30041673,30053879,30065097,30078619,30086162,30093687,30094395,30100999,30111351,30126001,30143629,30159130,30200646,30254191,30265861,30277012,30290811,30294606,30320198,30337961,30360391,30370001,30487597,30598662,30623420,30637877,30664687,30717896,30728883,30742860,30760304,30768848,30795755,30847387,30863482,30899200,31039200,31068032,31158244,31266962,31289571,31314136,31345789,31347092,31353365,31391125,31406255,31416844,31545494,31548239,31578454,31604311,31661924,31694905,31698087,31762713,31980175,31989142,32046099,32131760,32132651,32156782,32242330,32297104,32327612,32340261,32366406,32385388,32405640,32411231,32423455,32476297,32478079,32483452,32528879,32531927,32553555,32561648,32587787,32596158,32626712,32629543,32714859,32751138,32759760,32792685,32811569,32821069,32873792,32913191,32978468,33000894,33029006,33070910,33103432,33113355,33200656,33252196,33258291,33261061,33272017,33299328,33325154,33330635,33335127,33348922,33356422,33367512,33383480,33391536,33414407,33443864,33469997,33479617,33483600,33489866,33577798,33580193,33604667,33613767,33663128,33669363,33669949,33673669,33674596,33676177,33677931,33688183,33707587,33738242,33747149,33793658,33803216,33855281,33958797,34012822,34025662,34060071,34204950,34234465,34240406,34245091,34252351,34252520,34315896,34335481,34379110,34383272,34394248,34397043,34405004,34449926,34516041,34599642,34631696,34636352,34659573,34733591,34733624,34795269,34812139,34865163,34871578,34890787,34933181,35053476,35100719,35117124,35123502,35145078,35233349,35350751,35353428,35417664,35475239,35512704,35513054,35616648,35651980,35665338,35702885,35748101,35840569,35854932,35948813,36060512,36112789,36117524,36539575,36571370,36768289,36824910,36856908,36872366,36963492,37183363,37445731,37452943,37537230,37543582,37576936,37578745,37647391,37735514,37973552,37985676,37989409
CORO1A	18836449,18936778,26108624
KRAS	12515720,14732924,15075335,15093544,16005186,16051643,16098678,16474405,16497971,16520020,16679305,16959882,17190838,17210246,17211612,17303383,17349581,17468755,18271008,18632602,19067490,19208363,19296721,19531623,19606930,19629168,19679546,19775620,19878870,19881948,19966866,20141835,20237281,20581865,20807812,20824047,20941790,20944652,21107427,21169357,21196225,21199651,21239520,21311774,21364589,21371307,21451123,21481788,21512141,21514245,21632463,21699772,21718591,21726810,21734707,21825040,21860420,21860425,21874163,21876558,21903676,21943101,21984975,21993244,22113502,22131876,22160930,22162229,22175014,22264792,22321641,22359542,22399565,22496619,22511580,22532587,22541435,22545230,22628411,22643351,22665051,22693250,22698407,22805308,22805776,22871572,22956772,22975374,22976127,22977734,23027861,23092099,23114842,23123965,23143308,23147198,23174755,23187836,23201164,23219833,23272301,23273993,23352126,23376846,23429703,23453624,23456389,23523371,23532335,23545339,23555182,23622129,23622130,23625632,23652920,23757356,23825691,23941833,23963802,23965987,23999170,24062691,24071938,24078774,24082825,24135279,24189294,24240690,24260500,24300897,24335650,24343361,24386371,24388967,24389431,24444711,24465899,24480914,24499815,24549645,24561622,24583697,24623306,24694735,24740995,24755884,24760005,24790804,24798740,24800749,24803537,24823639,24902898,24944587,24954535,24998913,25012986,25015087,25029561,25143751,25198428,25241892,25245763,25246276,25257766,25261996,25277176,25284480,25303301,25311989,25315765,25326799,25339352,25359213,25360587,25361845,25367198,25371176,25394415,25412762,25415430,25453266,25486431,25616942,25622904,25623590,25672900,25687338,25698580,25714130,25736685,25748236,25753158,25769430,25788415,25881545,25896895,25902334,25934441,26005835,26028026,26056141,26060408,26079371,26080442,26085527,26090869,26095125,26110767,26147201,26175494,26257060,26266422,26279576,26289340,26295972,26301689,26344763,26346493,26351322,26353932,26363011,26372702,26372703,26404002,26418750,26423694,26423697,26425723,26438693,26501191,26592448,26617245,26626996,26627007,26714748,26715642,26771140,26841430,26854029,26864623,26869074,26922479,26942675,26947075,26955281,26959608,26967383,26977883,26977885,26987942,26988909,27007150,27016502,27087446,27127178,27154822,27203208,27203385,27215660,27293474,27297136,27308320,27308346,27322337,27329725,27336603,27362559,27376576,27396271,27412232,27422332,27447549,27447968,27463838,27477280,27649783,27661123,27737879,27750041,27835861,27841037,27845911,27846317,27846390,27901498,27991932,28032597,28057438,28068326,28092656,28092669,28093501,28119527,28152508,28228261,28232723,28233357,28249162,28272465,28292435,28366734,28380420,28381544,28381547,28415695,28435024,28451792,28468801,28468934,28475592,28530655,28574510,28623374,28630946,28654000,28723561,28752115,28753978,28806777,28819306,28860646,28892048,28933766,28951128,28951536,28957417,29081842,29084939,29156578,29163686,29163799,29165690,29191600,29195074,29212309,29237705,29248537,29250983,29267283,29282294,29287955,29291022,29311298,29336889,29364867,29373830,29377763,29384525,29433879,29440633,29445180,29463063,29490280,29518522,29575527,29592890,29758119,29858030,29872579,29907857,30037967,30041673,30060755,30074477,30126195,30214681,30342037,30353028,30355677,30377195,30409919,30425310,30533257,30578323,30664964,30683722,30703085,30717252,30814491,30956775,31124056,31133695,31217166,31262731,31263025,31335229,31352001,31399087,31406302,31468366,31521603,31534020,31545494,31551296,31576556,31626255,31649109,31658955,31669153,31681559,31681616,31685994,31772328,31775797,31778952,31816869,31819197,31861395,31876386,31877165,31915377,31979397,32144301,32174221,32179690,32188707,32198345,32210966,32220889,32244355,32246016,32279996,32300895,32312912,32325664,32327612,32332849,32398706,32405640,32577507,32580961,32612951,32635472,32674255,32709883,32855305,32875077,32903495,32929330,32939510,32989144,32989257,33004813,33060649,33077911,33082413,33127675,33259884,33261061,33325140,33422093,33422950,33440657,33452215,33453281,33503832,33608497,33668583,33673109,33674596,33691728,33742081,33768568,33793658,33805928,33855281,33915078,33953163,33969622,33976200,34051140,34064232,34117033,34145038,34151545,34294889,34307463,34330898,34373755,34377229,34395269,34488905,34531319,34580712,34618566,34625563,34652911,34695382,34725361,34730772,34795269,34858498,34910921,35014625,35083149,35120601,35166243,35243242,35329953,35353428,35378710,35393570,35418690,35449573,35474735,35554730,35573474,35582726,35619118,35732135,35811500,35819261,35832439,35833726,35857848,35867735,35877003,36044839,36074020,36099883,36185621,36315377,36367161,36386200,36418055,36418474,36472553,36514219,36543126,36718590,36725884,36908331,36909578,36936664,37067057,37121193,37162905,37258742,37267915,37270580,37340596,37402366,37541213,37591859,37625401,37625842,37699334,37774359,37783131,37790498,37842094,37845485,37909039,37913768,3945555,8760597
PPARD	21573137,24058710,28539839
SP1	16956950,20953893,22039495,22266860,23144615,26713265,28240767
